fixed_acidity,residual_sugar,total_sulfur_dioxide,alcohol,quality
9.3,2.10,125.0,9.500000000,poor
7.0,1.80,24.0,9.000000000,poor
7.9,1.90,140.0,9.500000000,poor
8.6,1.90,136.0,9.900000000,good
8.6,2.00,133.0,9.800000000,poor
7.7,1.90,31.0,9.600000000,poor
5.0,1.40,85.0,10.500000000,poor
4.7,2.30,106.0,12.900000000,good
6.8,3.00,23.0,10.700000000,poor
7.0,2.00,22.0,9.200000000,poor
7.6,2.50,10.0,9.800000000,poor
8.1,1.90,35.0,9.000000000,good
8.3,2.10,50.0,10.200000000,good
7.8,1.90,22.0,10.400000000,good
8.1,1.90,35.0,9.000000000,good
8.1,2.10,65.0,9.200000000,poor
7.2,2.20,36.0,9.400000000,poor
8.1,2.10,65.0,9.200000000,poor
7.8,1.70,69.0,9.300000000,poor
6.2,1.70,64.0,9.300000000,poor
8.0,2.50,80.0,9.600000000,good
8.1,2.00,153.0,9.300000000,poor
7.8,1.80,47.0,9.500000000,poor
8.4,2.20,108.0,9.800000000,poor
8.4,2.20,111.0,9.800000000,poor
10.1,2.30,46.0,9.700000000,good
7.8,1.80,47.0,9.500000000,poor
9.4,2.20,62.0,10.500000000,good
8.3,1.90,40.0,10.000000000,good
7.8,2.00,28.0,9.400000000,good
8.8,2.20,56.0,10.900000000,good
7.0,1.80,89.0,9.200000000,good
7.3,1.70,89.0,9.000000000,poor
8.8,2.20,56.0,10.900000000,good
7.3,2.50,13.0,9.200000000,poor
8.0,2.60,34.0,9.500000000,poor
7.8,1.60,102.0,9.500000000,poor
9.0,1.90,90.0,9.400000000,poor
8.2,1.70,12.0,10.900000000,poor
8.1,1.80,12.0,10.900000000,poor
8.0,1.80,16.0,10.500000000,good
6.1,1.80,19.0,9.400000000,poor
8.0,2.00,134.0,9.400000000,poor
5.6,2.30,99.0,13.000000000,poor
5.6,2.30,99.0,13.000000000,poor
6.6,1.50,26.0,9.800000000,good
7.9,2.20,29.0,9.900000000,good
8.4,1.90,63.0,9.600000000,poor
8.3,1.80,52.0,9.500000000,poor
7.2,2.00,45.0,9.200000000,poor
7.8,2.10,105.0,9.500000000,poor
7.8,2.00,108.0,9.500000000,poor
8.4,1.90,63.0,9.600000000,poor
8.3,1.80,52.0,9.500000000,poor
5.2,1.80,63.0,14.000000000,good
6.3,1.70,20.0,9.400000000,poor
5.2,1.80,63.0,14.000000000,good
8.1,1.80,141.0,9.400000000,poor
5.8,1.80,94.0,10.000000000,poor
7.6,1.60,88.0,9.300000000,poor
6.9,2.30,30.0,10.200000000,good
8.2,2.80,43.0,10.500000000,good
7.3,2.10,11.0,10.300000000,good
9.2,3.40,69.0,9.400000000,poor
7.5,1.80,99.0,10.100000000,poor
7.5,1.80,99.0,10.100000000,poor
7.1,5.50,129.0,10.500000000,poor
7.1,5.50,128.0,10.500000000,poor
7.1,5.50,129.0,10.500000000,poor
7.1,5.50,128.0,10.500000000,poor
7.1,2.20,22.0,9.300000000,poor
6.8,1.90,86.0,9.300000000,good
7.6,2.00,20.0,9.600000000,poor
7.6,1.30,20.0,9.200000000,poor
7.8,1.70,31.0,10.000000000,good
7.4,7.30,121.0,9.400000000,poor
7.3,7.20,121.0,9.400000000,poor
7.8,1.70,96.0,9.500000000,poor
6.8,2.10,101.0,10.200000000,poor
7.3,1.60,42.0,9.000000000,poor
6.8,2.10,44.0,10.400000000,good
7.5,1.80,63.0,9.500000000,poor
7.9,1.80,8.0,9.100000000,poor
8.0,2.00,18.0,9.200000000,good
8.0,2.00,18.0,9.200000000,good
7.4,1.90,42.0,11.500000000,good
7.3,2.00,35.0,9.500000000,poor
6.9,1.50,49.0,9.500000000,poor
7.3,2.00,35.0,9.500000000,poor
7.5,2.30,38.0,10.500000000,good
7.0,2.50,20.0,9.600000000,poor
8.8,2.40,42.0,9.500000000,poor
8.8,2.40,42.0,9.500000000,poor
8.9,2.00,110.0,9.300000000,poor
7.2,2.50,42.0,9.300000000,poor
6.8,1.80,65.0,9.300000000,poor
6.7,1.90,62.0,9.300000000,good
8.9,2.00,85.0,9.700000000,poor
7.4,2.00,67.0,9.200000000,poor
7.7,2.60,26.0,9.700000000,poor
7.9,2.00,143.0,9.500000000,poor
7.9,1.90,144.0,9.500000000,poor
8.2,2.90,127.0,9.400000000,poor
6.4,1.90,49.0,9.800000000,good
6.8,3.80,126.0,9.500000000,poor
7.6,2.20,28.0,9.700000000,poor
7.6,2.20,28.0,9.700000000,poor
7.8,2.00,120.0,9.400000000,poor
7.3,2.40,55.0,10.200000000,poor
11.5,2.00,27.0,10.100000000,good
5.4,1.20,93.0,13.000000000,good
6.9,2.10,31.0,11.400000000,poor
9.6,1.40,24.0,10.300000000,good
8.8,2.10,145.0,9.300000000,poor
6.8,1.50,49.0,9.500000000,poor
7.0,1.60,39.0,9.200000000,poor
7.0,1.60,37.0,9.200000000,good
12.8,2.60,28.0,10.800000000,good
12.8,2.60,28.0,10.800000000,good
7.8,1.80,120.0,9.300000000,poor
7.8,2.70,95.0,9.400000000,poor
11.0,2.10,19.0,10.500000000,good
9.7,2.00,19.0,12.400000000,good
8.0,2.80,62.0,10.000000000,good
11.6,2.10,15.0,10.200000000,good
8.2,2.20,65.0,10.100000000,poor
7.8,2.40,41.0,9.800000000,good
7.0,5.60,121.0,10.500000000,poor
8.7,2.00,49.0,11.000000000,poor
8.1,2.20,41.0,9.100000000,poor
7.5,1.90,44.0,9.700000000,poor
7.8,2.40,144.0,9.500000000,poor
7.8,2.00,58.0,9.400000000,good
7.4,2.00,72.0,9.400000000,poor
6.8,1.50,10.0,9.500000000,poor
8.6,2.00,28.0,10.000000000,good
8.4,2.00,55.0,10.400000000,poor
7.7,2.60,63.0,10.500000000,good
8.9,2.00,81.0,9.500000000,good
9.0,2.60,23.0,9.800000000,poor
7.7,2.60,63.0,10.500000000,good
6.9,2.60,37.0,11.000000000,poor
5.2,1.60,106.0,12.200000000,good
8.0,1.80,49.0,9.900000000,good
8.5,2.80,58.0,9.600000000,good
6.9,2.60,37.0,11.000000000,poor
8.2,2.30,37.0,9.000000000,good
7.2,1.90,38.0,9.000000000,good
7.2,1.90,38.0,9.000000000,good
7.2,1.90,39.0,9.200000000,good
7.2,1.90,38.0,9.000000000,good
8.2,2.30,37.0,9.000000000,good
8.9,1.70,62.0,9.300000000,poor
12.0,2.10,24.0,10.900000000,good
7.7,1.80,109.0,9.800000000,good
15.0,2.20,24.0,9.200000000,good
15.0,2.20,24.0,9.200000000,good
7.3,2.00,23.0,9.900000000,good
7.1,1.90,51.0,9.500000000,poor
8.2,2.30,73.0,9.300000000,poor
7.7,1.70,39.0,9.800000000,good
7.3,2.00,23.0,9.900000000,good
10.8,1.60,37.0,10.000000000,good
7.1,1.80,34.0,9.900000000,good
11.1,3.10,21.0,10.500000000,poor
7.7,1.90,86.0,9.500000000,poor
7.1,1.80,34.0,9.900000000,good
8.0,3.20,119.0,9.300000000,poor
9.4,2.20,13.0,9.200000000,poor
6.6,2.10,56.0,9.200000000,poor
7.7,1.80,45.0,9.400000000,poor
10.0,2.60,33.0,10.500000000,good
7.9,1.70,45.0,9.300000000,poor
7.0,2.00,67.0,9.400000000,poor
8.0,1.70,35.0,10.000000000,poor
7.9,1.80,49.0,9.300000000,poor
12.5,2.40,27.0,10.900000000,poor
11.8,1.80,10.0,10.200000000,good
8.1,3.30,61.0,9.800000000,poor
7.9,3.60,37.0,12.800000000,good
6.9,3.00,27.0,9.400000000,good
11.5,4.00,23.0,10.100000000,good
7.9,4.00,61.0,10.700000000,good
11.5,4.00,23.0,10.100000000,good
10.9,4.00,65.0,10.100000000,poor
8.4,2.40,38.0,9.400000000,poor
7.5,7.00,94.0,9.400000000,poor
7.9,4.00,61.0,10.700000000,good
6.9,3.00,27.0,9.400000000,good
11.5,4.00,23.0,10.100000000,good
10.3,6.40,13.0,12.600000000,good
8.9,5.60,47.0,10.500000000,good
11.4,3.60,19.0,9.300000000,good
7.7,3.50,10.0,9.900000000,good
7.6,3.00,53.0,9.100000000,poor
8.9,5.60,47.0,10.500000000,good
9.9,3.40,71.0,9.800000000,poor
9.9,3.40,71.0,9.800000000,poor
12.0,2.00,49.0,10.300000000,good
7.5,3.00,53.0,10.300000000,good
8.7,2.50,49.0,10.600000000,good
11.6,3.30,98.0,9.200000000,poor
8.7,2.50,49.0,10.600000000,good
11.0,2.00,18.0,10.500000000,poor
10.4,2.70,48.0,10.300000000,good
6.9,2.40,16.0,10.100000000,good
13.3,3.20,53.0,9.500000000,good
10.8,2.50,27.0,9.500000000,poor
10.6,2.60,70.0,9.900000000,poor
7.1,2.00,29.0,9.600000000,poor
7.2,2.30,31.0,9.700000000,poor
6.9,2.10,33.0,9.600000000,poor
